fonte,tipo_fonte,issn,isbn,ano,indexado,metodo
2024 IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion (ACSOS-C),conferencia,,979-8-3503-8976-0,2024,True,ISBN
2025 International Conference on Electronics and Renewable Systems (ICEARS),conferencia,,979-8-3315-0967-5,2025,True,ISBN
2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),conferencia,1946-0759,978-1-7281-8956-7,2020,True,ISBN
2025 International Conference on Sensors and Related Networks (SENNET) Special Focus on Digital Healthcare(64220),conferencia,,979-8-3315-9746-7,2025,True,ISBN
2024 7th International Conference on Contemporary Computing and Informatics (IC3I),conferencia,,979-8-3503-5006-7,2024,True,ISBN
2025 International Conference on Smart & Sustainable Technology (INCSST),conferencia,,979-8-3315-4192-7,2025,True,ISBN
2025 Crypto Valley Conference (CVC),conferencia,,979-8-3315-8749-9,2025,True,ISBN
2016 IEEE International Conference on Big Data (Big Data),conferencia,,978-1-4673-9005-7,2016,False,
2015 IEEE Metrology for Aerospace (MetroAeroSpace),conferencia,,978-1-4799-7569-3,2015,True,ISBN
2020 IEEE KhPI Week on Advanced Technology (KhPIWeek),conferencia,,978-1-6654-0501-0,2020,True,ISBN
2025 11th International Conference on Optimization and Applications (ICOA),conferencia,2768-6388,979-8-3315-9957-7,2025,True,ISBN
2025 IEEE Technology and Engineering Management Society (TEMSCON LATAM),conferencia,,979-8-3315-2567-5,2025,True,ISBN
2024 IEEE 8th International Conference on Information and Communication Technology (CICT),conferencia,,979-8-3315-3153-9,2024,True,ISBN
2016 IEEE Intl Conference on Computational Science and Engineering (CSE) and IEEE Intl Conference on Embedded and Ubiquitous Computing (EUC) and 15th Intl Symposium on Distributed Computing and Applications for Business Engineering (DCABES),conferencia,,978-1-5090-3593-9,2016,True,ISBN
2025 International Conference on Advances in Modern Age Technologies for Health and Engineering Science (AMATHE),conferencia,,979-8-3315-0103-7,2025,True,ISBN
"2024 15th International Conference on Information, Intelligence, Systems & Applications (IISA)",conferencia,,979-8-3503-6883-3,2024,True,ISBN
2025 5th International Conference on Advancement in Electronics & Communication Engineering (AECE),conferencia,,979-8-3315-5296-1,2025,True,ISBN
2025 10th International Conference on Smart and Sustainable Technologies (SpliTech),conferencia,,978-953-290-142-9,2025,True,ISBN
2025 9th International Conference on Inventive Systems and Control (ICISC),conferencia,,979-8-3315-1247-7,2025,True,ISBN
2025 International Conference on Engineering Innovations and Technologies (ICoEIT),conferencia,,979-8-3315-2595-8,2025,True,ISBN
2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),conferencia,2161-8089,979-8-3503-5851-3,2024,True,ISBN
2023 Panda Forum on Power and Energy (PandaFPE),conferencia,,979-8-3503-2117-3,2023,True,ISBN
Proceedings of the 10th World Congress on Intelligent Control and Automation,conferencia,,978-1-4673-1398-8,2012,False,
"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",conferencia,,979-8-3315-3358-8,2025,True,ISBN
2024 IEEE Intelligent Vehicles Symposium (IV),conferencia,2642-7214,979-8-3503-4881-1,2024,True,ISBN
2025 International Conference on Intelligent Innovations in Engineering and Technology (ICIIET),conferencia,,979-8-3315-9103-8,2025,True,ISBN
2018 IEEE Second International Conference on Data Stream Mining & Processing (DSMP),conferencia,,978-1-5386-2874-4,2018,True,ISBN
2024 International Conference on Smart Electronics and Communication Systems (ISENSE),conferencia,,979-8-3315-2812-6,2024,True,ISBN
2025 XXVIII International Conference on Soft Computing and Measurements (SCM),conferencia,,979-8-3315-2667-2,2025,True,ISBN
2024 International Conference on Artificial Intelligence and Quantum Computation-Based Sensor Application (ICAIQSA),conferencia,,979-8-3315-1795-3,2024,True,ISBN
"2025 25th International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",conferencia,2693-9371,978-1-6654-7773-4,2025,True,ISBN
2024 4th Asian Conference on Innovation in Technology (ASIANCON),conferencia,,979-8-3503-5421-8,2024,True,ISBN
2024 IEEE 29th Asia Pacific Conference on Communications (APCC),conferencia,2163-0771,979-8-3315-1781-6,2024,True,ISBN
2025 International Conference on Emerging Technologies in Computing and Communication (ETCC),conferencia,,979-8-3315-2476-0,2025,True,ISBN
OCEANS 2019 - Marseille,conferencia,,978-1-7281-1450-7,2019,False,
2024 17th International Conference on Security of Information and Networks (SIN),conferencia,,979-8-3315-0973-6,2024,True,ISBN
2025 3rd International Conference on Artificial Intelligence and Machine Learning Applications Theme: Healthcare and Internet of Things (AIMLA),conferencia,,979-8-3315-3896-5,2025,True,TITULO_FUZZY_ANO(96)
2025 8th International Conference on Informatics and Computational Sciences (ICICoS),conferencia,2767-7087,979-8-3315-9350-6,2025,True,ISBN
2025 11th International Conference on Smart Computing and Communications (ICSCC),conferencia,,979-8-3315-2562-0,2025,True,ISBN
"OCEANS 2022, Hampton Roads",conferencia,0197-7385,978-1-6654-6809-1,2022,True,ISBN
"2025 International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics (IC3ECSBHI)",conferencia,,979-8-3315-1852-3,2025,True,ISBN
2018 International Conference on System Modeling & Advancement in Research Trends (SMART),conferencia,,978-1-5386-6369-1,2018,True,ISBN
2023 2nd International Conference on Edge Computing and Applications (ICECAA),conferencia,,979-8-3503-4757-9,2023,True,ISBN
"2025 IEEE 5th International Conference on Electronic Technology, Communication and Information (ICETCI)",conferencia,,979-8-3315-3372-4,2025,True,ISBN
"2025 International Conference on Computers, Information Processing and Advanced Education (CIPAE)",conferencia,,979-8-3315-3840-8,2025,True,ISBN
2024 International Conference on Intelligent Systems for Cybersecurity (ISCS),conferencia,,979-8-3503-7523-7,2024,True,ISBN
IEEE Internet Computing,periodico,1941-0131,,2026,True,ISSN
OCEANS 2024 - Singapore,conferencia,,979-8-3503-6207-7,2024,True,ISBN
IEEE Journal of Biomedical and Health Informatics,periodico,2168-2208,,2014,True,ISSN
2025 International Conference on Intelligent Transportation and New Energy Technology (ITNET),conferencia,,979-8-3315-3273-4,2025,True,ISBN
2015 34th Chinese Control Conference (CCC),conferencia,1934-1768,978-9-8815-6389-7,2015,True,ISBN
2025 9th International Symposium on Innovative Approaches in Smart Technologies (ISAS),conferencia,,979-8-3315-1482-2,2025,True,ISBN
2023 International Conference on Circuit Power and Computing Technologies (ICCPCT),conferencia,,979-8-3503-3324-4,2023,True,ISBN
"2013 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR)",conferencia,2374-3247,978-1-4799-0880-6,2013,True,TITULO_FUZZY_ANO(97)
2024 3rd International Conference for Innovation in Technology (INOCON),conferencia,,979-8-3503-8193-1,2024,True,ISBN
"2025 International Conference on Electrical, Electronics, and Computer Science with Advance Power Technologies - A Future Trends (ICE2CPT)",conferencia,,979-8-3315-1499-0,2025,True,ISBN
"2025 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)",conferencia,2766-2101,979-8-3315-0236-2,2025,True,ISBN
Proceedings of the 33rd Chinese Control Conference,conferencia,1934-1768,978-9-8815-6387-3,2014,True,ISSN_SERIE
2024 International Conference on Advances in Computing Research on Science Engineering and Technology (ACROSET),conferencia,,979-8-3503-8880-0,2024,True,ISBN
2024 Ninth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),conferencia,,979-8-3503-6509-2,2024,True,ISBN
2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),conferencia,2767-1097,979-8-3315-8894-6,2025,True,ISBN
"2025 3rd International Conference on Artificial Intelligence, Blockchain, and Internet of Things (AIBThings)",conferencia,,979-8-3315-8856-4,2025,True,ISBN
2014 IEEE Real-Time Systems Symposium,conferencia,1052-8725,978-1-4799-7288-3,2014,True,ISSN_SERIE
"2025 2nd International Conference on Circuits, Power and Intelligent Systems (CCPIS)",conferencia,,979-8-3315-3779-1,2025,True,ISBN
2023 IEEE North Karnataka Subsection Flagship International Conference (NKCon),conferencia,,979-8-3503-1404-5,2023,True,ISBN
International Conference on Electric Vehicle and Vehicle Engineering (CEVVE 2023),conferencia,,978-1-83724-021-0,2023,True,ISBN
2021 3rd International Conference on Applied Machine Learning (ICAML),conferencia,,978-1-6654-2125-6,2021,True,ISBN
"2025 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)",conferencia,2768-4644,979-8-3315-4327-3,2025,True,ISBN
2010 International Conference on Intelligent Networking and Collaborative Systems,conferencia,,978-1-4244-8828-5,2010,False,
2013 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,conferencia,,978-0-7695-5106-7,2013,False,
"2025 6th International Conference on Computer Vision, Image and Deep Learning (CVIDL)",conferencia,,979-8-3315-2324-4,2025,True,ISBN
2024 5th International Conference on Electronics and Sustainable Communication Systems (ICESC),conferencia,2996-5357,979-8-3503-7994-5,2024,True,ISBN
2023 Photonics & Electromagnetics Research Symposium (PIERS),conferencia,2831-5804,979-8-3503-1284-3,2023,True,ISBN
"2023 International Conference on Power, Electrical Engineering, Electronics and Control (PEEEC)",conferencia,,979-8-3503-2912-4,2023,True,ISBN
"2022 International Conference on Industrial IoT, Big Data and Supply Chain (IIoTBDSC)",conferencia,,978-1-6654-5455-1,2022,True,ISBN
2020 5th International Conference on Universal Village (UV),conferencia,,978-1-7281-9523-0,2020,True,ISBN
"2025 IEEE 3rd International Conference on Control, Electronics and Computer Technology (ICCECT)",conferencia,,979-8-3315-1855-4,2025,True,ISBN
2023 IEEE 9th World Forum on Internet of Things (WF-IoT),conferencia,2768-1734,979-8-3503-1161-7,2023,True,ISBN
2010 6th International Conference on Wireless and Mobile Communications,conferencia,,978-1-4244-8021-0,2010,False,
2010 International Conference on Innovative Computing and Communication and 2010 Asia-Pacific Conference on Information Technology and Ocean Engineering,conferencia,,978-1-4244-5635-2,2010,False,
"2019 IEEE Eurasia Conference on IOT, Communication and Engineering (ECICE)",conferencia,,978-1-7281-2501-5,2019,True,ISBN
2025 IEEE International Symposium on Consumer Technology (ISCT),conferencia,2159-1423,979-8-3315-6549-7,2025,True,ISBN
2012 IEEE National Aerospace and Electronics Conference (NAECON),conferencia,0547-3578,978-1-4673-2792-3,2012,True,ISSN_SERIE
2018 4th International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT),conferencia,,978-1-5386-7706-3,2018,True,ISBN
2015 SAI Intelligent Systems Conference (IntelliSys),conferencia,,978-1-4673-7606-8,2015,True,ISBN
2025 3rd World Conference on Communication & Computing (WCONF),conferencia,,979-8-3315-3045-7,2025,True,ISBN
"2024 First International Conference on Innovations in Communications, Electrical and Computer Engineering (ICICEC)",conferencia,,979-8-3503-7651-7,2024,True,ISBN
2021 International Conference on Maintenance and Intelligent Asset Management (ICMIAM),conferencia,,978-1-6654-6671-4,2021,True,ISBN
2015 Sixth International Conference on Intelligent Control and Information Processing (ICICIP),conferencia,,978-1-4799-1717-4,2015,True,ISBN
"2024 IEEE 4th International Conference on Applied Electromagnetics, Signal Processing, & Communication (AESPC)",conferencia,,979-8-3315-2817-1,2024,True,ISBN
"2023 International Conference on Intelligent Computing, Communication & Convergence (ICI3C)",conferencia,,979-8-3503-4392-2,2023,True,ISBN
"2024 6th International Conference on Internet of Things, Automation and Artificial Intelligence (IoTAAI)",conferencia,,979-8-3503-8697-4,2024,True,ISBN
"2023 IEEE International Conference on Communication, Networks and Satellite (COMNETSAT)",conferencia,,979-8-3503-4110-2,2023,True,ISBN
IEEE Transactions on Network and Service Management,periodico,1932-4537,,2022,True,ISSN
"2025 5th International Conference on Artificial Intelligence, Automation and High Performance Computing (AIAHPC)",conferencia,,979-8-3503-9237-1,2025,True,ISBN
2014 International Conference on Power System Technology,conferencia,,978-1-4799-5032-4,2014,True,ISBN
2025 International Conference on Next Generation Information System Engineering (NGISE),conferencia,,979-8-3315-2059-5,2025,True,ISBN
IEEE Transactions on Information Technology in Biomedicine,periodico,1558-0032,,2010,True,ISSN
IEEE Computer Graphics and Applications,periodico,1558-1756,,2024,True,ISSN
2022 IEEE International Conference on Internet of Things and Intelligence Systems (IoTaIS),conferencia,2832-1383,979-8-3503-9645-4,2022,True,ISBN
2024 11th International Conference on Future Internet of Things and Cloud (FiCloud),conferencia,2996-1017,979-8-3315-2719-8,2024,True,ISBN
Journal of Web Engineering,periodico,1544-5976,,2024,True,ISSN
2024 3rd Zimbabwe Conference of Information and Communication Technologies (ZCICT),conferencia,,979-8-3315-2033-5,2024,True,ISBN
17th International IEEE Conference on Intelligent Transportation Systems (ITSC),conferencia,2153-0017,978-1-4799-6078-1,2014,True,ISBN
2023 6th International Conference on Contemporary Computing and Informatics (IC3I),conferencia,,979-8-3503-0448-0,2023,True,ISBN
2023 IEEE 13th International Conference on Electronics Information and Emergency Communication (ICEIEC),conferencia,2377-844X,979-8-3503-3172-1,2023,False,
2023 International Seminar on Computer Science and Engineering Technology (SCSET),conferencia,,979-8-3503-0147-2,2023,True,ISBN
2025 International Conference on Networks & Advances in Computational Technologies (NetACT),conferencia,,979-8-3315-3629-9,2025,True,ISBN
2025 IEEE International Annual Conference on Complex Systems and Intelligent Science (CSIS-IAC),conferencia,,979-8-3315-9768-9,2025,True,ISBN
2024 2nd International Conference on Intelligent Control and Computing (IC&C),conferencia,,979-8-3503-5187-3,2024,True,ISBN
"2022 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)",conferencia,,979-8-3503-3384-8,2022,True,ISBN
2025 10th International Conference on Smart Structures and Systems (ICSSS),conferencia,,979-8-3315-6323-3,2025,True,ISBN
IEEE Aerospace and Electronic Systems Magazine,periodico,1557-959X,,2021,True,ISSN
IEEE Intelligent Transportation Systems Magazine,periodico,1941-1197,,2016,True,ISSN
2025 International Conference on Information Technology Research and Innovation (ICITRI),conferencia,,979-8-3315-6940-2,2025,True,ISBN
2025 10th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),conferencia,2832-3734,979-8-3315-3080-8,2025,True,ISBN
2023 3rd Asian Conference on Innovation in Technology (ASIANCON),conferencia,,979-8-3503-0228-8,2023,True,ISBN
2024 7th International Conference on Circuit Power and Computing Technologies (ICCPCT),conferencia,,979-8-3503-7281-6,2024,True,ISBN
2024 IEEE Conference on Engineering Informatics (ICEI),conferencia,,979-8-3315-0577-6,2024,True,ISBN
2025 IEEE 30th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),conferencia,2378-4873,979-8-3315-6534-3,2025,True,ISBN
2019 IEEE 19th Mediterranean Microwave Symposium (MMS),conferencia,2157-9830,978-1-7281-4064-3,2019,True,ISSN_SERIE
2018 IEEE 38th International Conference on Electronics and Nanotechnology (ELNANO),conferencia,,978-1-5386-6383-7,2018,True,ISBN
Journal of Modern Power Systems and Clean Energy,periodico,2196-5420,,2026,True,ISSN
"2024 10th International Conference on Computing, Engineering and Design (ICCED)",conferencia,2767-7826,979-8-3315-2937-6,2024,True,ISBN
2024 IEEE 5th International Conference on Advanced Trends in Information Theory (ATIT),conferencia,,979-8-3315-1016-9,2024,True,ISBN
5th International Conference on Computer Sciences and Convergence Information Technology,conferencia,,978-89-88678-30-5,2010,False,
"2025 International Conference on Communications, Computing, Cybersecurity, and Informatics (CCCI)",conferencia,,979-8-3315-0196-9,2025,True,ISBN
2025 6th International Conference on Control and Fault-Tolerant Systems (SysTol),conferencia,2162-1209,978-1-6654-5771-2,2025,True,ISBN
"2024 6th International Conference on Robotics, Intelligent Control and Artificial Intelligence (RICAI)",conferencia,,979-8-3315-4169-9,2024,True,ISBN
2025 IEEE 34th International Symposium on Industrial Electronics (ISIE),conferencia,2163-5145,979-8-3503-7479-7,2025,True,ISBN
2024 1st International Conference on Sustainability and Technological Advancements in Engineering Domain (SUSTAINED),conferencia,,979-8-3503-9165-7,2024,True,ISBN
"2025 11th International Conference on Control, Decision and Information Technologies (CoDIT)",conferencia,2576-3555,979-8-3315-0338-3,2025,True,ISBN
2025 2nd International Conference on Computing and Data Science (ICCDS),conferencia,,979-8-3315-9668-2,2025,True,ISBN
2023 4th International Conference on Artificial Intelligence and Data Sciences (AiDAS),conferencia,,979-8-3503-1843-2,2023,True,ISBN
2025 15th International Conference on Advanced Computer Information Technologies (ACIT),conferencia,2770-5226,979-8-3315-9544-9,2025,True,ISSN_SERIE
2025 International Symposium on iNnovative Informatics of Biskra (ISNIB),conferencia,,979-8-3315-0957-6,2025,True,ISBN
2024 8th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),conferencia,2767-1097,979-8-3315-0546-2,2024,True,ISBN
"2019 22nd Conference on Innovation in Clouds, Internet and Networks and Workshops (ICIN)",conferencia,2472-8144,978-1-5386-8336-1,2019,True,ISBN
2025 International Conference on Next Generation Communication & Information Processing (INCIP),conferencia,,979-8-3315-2814-0,2025,True,ISBN
2024 4th International Conference on Innovative Sustainable Computational Technologies (CISCT),conferencia,,979-8-3503-7814-6,2024,True,ISBN
2024 International Conference on IoT Based Control Networks and Intelligent Systems (ICICNIS),conferencia,,979-8-3315-1809-7,2024,True,ISBN
2022 IEEE Symposium on Computers and Communications (ISCC),conferencia,2642-7389,978-1-6654-9792-3,2022,True,ISBN
2025 IEEE Technology and Engineering Management Society Conference - Global (TEMSCON Global),conferencia,,979-8-3315-4274-0,2025,True,ISBN
2017 20th International Conference on Information Fusion (Fusion),conferencia,,978-0-9964-5270-0,2017,True,ISBN
2023 International Conference on Inventive Computation Technologies (ICICT),conferencia,2767-7788,979-8-3503-9849-6,2023,True,ISBN
2024 International Conference on Integrated Intelligence and Communication Systems (ICIICS),conferencia,,979-8-3315-0496-0,2024,True,ISBN
2024 International Conference on Inventive Computation Technologies (ICICT),conferencia,2767-7788,979-8-3503-5929-9,2024,True,ISBN
2024 14th International Conference on Computer and Knowledge Engineering (ICCKE),conferencia,2643-279X,979-8-3315-1127-2,2024,True,ISBN
2025 International Conference on Intelligent Computing and Control Systems (ICICCS),conferencia,,979-8-3315-1208-8,2025,True,ISBN
2017 International Carnahan Conference on Security Technology (ICCST),conferencia,2153-0742,978-1-5386-1585-0,2017,True,ISBN
Proceedings of the IEEE,periodico,1558-2256,,2021,True,ISSN
IEEE Open Journal of the Computer Society,periodico,2644-1268,,2021,True,ISSN
OCEANS 2024 - Halifax,conferencia,2996-1882,979-8-3315-4008-1,2024,True,ISBN
"2025 International Conference on Electronics, AI and Computing (EAIC)",conferencia,,979-8-3315-5358-6,2025,True,ISBN
"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",conferencia,2577-1655,978-1-6654-5258-8,2022,True,ISBN
2023 IEEE 6th International Conference on Knowledge Innovation and Invention (ICKII),conferencia,2770-4785,979-8-3503-2353-5,2023,True,ISBN
2011 International Conference on Advanced Intelligence and Awareness Internet (AIAI 2011),conferencia,,978-1-84919-471-6,2011,False,
2023 26th International Conference on Computer and Information Technology (ICCIT),conferencia,,979-8-3503-5901-5,2023,True,ISBN
IEEE Systems Journal,periodico,1937-9234,,2014,True,ISSN
"2025 International Conference on Intelligent Computer Systems, Data Science and Applications (IC2SDA)",conferencia,,979-8-3315-6892-4,2025,True,ISBN
2018 International Conference on Intelligent Systems (IS),conferencia,1541-1672,978-1-5386-7097-2,2018,True,ISBN
"2025 International Conference on Electrical, Communication and Computer Engineering (ICECCE)",conferencia,,979-8-3315-4915-2,2025,True,ISBN
2024 International Annual Conference on Complex Systems and Intelligent Science (CSIS-IAC),conferencia,,979-8-3315-0475-5,2024,True,ISBN
2025 European Data Handling & Data Processing Conference (EDHPC),conferencia,,979-8-3503-7954-9,2025,True,ISBN
2025 IEEE Smart World Congress (SWC),conferencia,2993-396X,979-8-3315-7598-4,2025,True,ISBN
2012 15th International Conference on Information Fusion,conferencia,,978-0-9824438-5-9,2012,False,
"2025 Fifth International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT)",conferencia,,979-8-3503-5623-6,2025,True,ISBN
"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",conferencia,,979-8-3315-0784-8,2025,True,ISBN
"2023 2nd International Conference on Automation, Computing and Renewable Systems (ICACRS)",conferencia,,979-8-3503-4023-5,2023,True,ISBN
2023 3rd Power System and Green Energy Conference (PSGEC),conferencia,,979-8-3503-4009-9,2023,True,ISBN
2024 IEEE 8th International Conference on Fog and Edge Computing (ICFEC),conferencia,2694-3255,979-8-3503-6135-3,2024,True,ISBN
2024 International Conference on Emerging Smart Computing and Informatics (ESCI),conferencia,,979-8-3503-0661-3,2024,True,ISBN
2024 International Conference on IT Innovation and Knowledge Discovery (ITIKD),conferencia,,979-8-3503-5546-8,2025,True,ISBN
2025 5th International Conference on Expert Clouds and Applications (ICOECA),conferencia,,979-8-3315-2447-0,2025,True,ISBN
2025 IEEE 5th International Conference on ICT in Business Industry & Government (ICTBIG),conferencia,,979-8-3315-7981-4,2025,True,ISBN
2025 International Conference on NexGen Networks and Cybernetics (IC2NC),conferencia,,979-8-3315-9484-8,2025,True,ISBN
2025 IEEE International Conference on Communications Workshops (ICC Workshops),conferencia,2694-2941,979-8-3315-9624-8,2025,True,ISBN
"2025 Third International Conference on Networks, Multimedia and Information Technology (NMITCON)",conferencia,,979-8-3315-1308-5,2025,True,ISBN
2024 4th Power System and Green Energy Conference (PSGEC),conferencia,,979-8-3503-6557-3,2024,True,ISBN
"2021 IEEE 4th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)",conferencia,,978-1-6654-2839-2,2021,True,ISBN
"2025 32nd International Conference on Systems, Signals and Image Processing (IWSSIP)",conferencia,2157-8702,979-8-3503-9289-0,2025,True,ISBN
2023 9th IEEE India International Conference on Power Electronics (IICPE),conferencia,2160-3170,979-8-3503-0725-2,2023,True,ISBN
2025 International Conference on Electrical Engineering and Informatics (ICEEI),conferencia,2155-6830,979-8-3315-9271-4,2025,True,ISBN
2024 27th International Conference on Computer and Information Technology (ICCIT),conferencia,2474-9656,979-8-3315-1909-4,2024,True,ISBN
4th IEEE International Conference on Digital Ecosystems and Technologies,conferencia,2150-4946,978-1-4244-5553-9,2010,True,ISSN_SERIE
2023 2nd International Conference on Artificial Intelligence and Intelligent Information Processing (AIIIP),conferencia,,979-8-3503-7145-1,2023,True,ISBN
"2024 IEEE 35th International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC)",conferencia,2166-9589,979-8-3503-6224-4,2024,True,ISBN
"2025 International Conference on Green Energy, Computing and Sustainable Technology (GECOST)",conferencia,,978-1-6654-7803-8,2025,True,ISBN
2025 IEEE 6th Global Conference for Advancement in Technology (GCAT),conferencia,,979-8-3315-1458-7,2025,True,ISBN
2025 International Conference on Computing for Sustainability and Intelligent Future (COMP-SIF),conferencia,,979-8-3315-3853-8,2025,True,ISBN
2024 12th International Symposium on Digital Forensics and Security (ISDFS),conferencia,2768-1831,979-8-3503-3036-6,2024,True,ISBN
IEEE Instrumentation & Measurement Magazine,periodico,1941-0123,,2024,True,ISSN
2025 IEEE 16th International Symposium on Autonomous Decentralized Systems (ISADS),conferencia,2640-7485,979-8-3315-8919-6,2025,True,ISBN
2024 5th International Conference for Emerging Technology (INCET),conferencia,,979-8-3503-6115-5,2024,True,ISBN
2024 IEEE International Conference on Consumer Electronics (ICCE),conferencia,2158-4001,979-8-3503-2413-6,2024,True,ISBN
2025 IEEE International Conference on Cyber Security and Resilience (CSR),conferencia,,979-8-3315-3591-9,2025,True,ISBN
2025 IEEE International Black Sea Conference on Communications and Networking (BlackSeaCom),conferencia,2687-9808,979-8-3315-3719-7,2025,True,ISBN
2025 IEEE International Conference on Information Reuse and Integration and Data Science (IRI),conferencia,2835-5776,979-8-3315-9944-7,2025,True,ISBN
2025 5th Intelligent Cybersecurity Conference (ICSC),conferencia,,979-8-3503-9292-0,2025,True,ISBN
IEEE Journal of Radio Frequency Identification,periodico,2469-7281,,2026,True,ISSN
2024 8th CAA International Conference on Vehicular Control and Intelligence (CVCI),conferencia,,979-8-3315-0489-2,2024,True,ISBN
2025 IEEE 15th Symposium on Computer Applications & Industrial Electronics (ISCAIE),conferencia,2836-4317,979-8-3315-2166-0,2025,True,ISBN
"2025 9th International Conference on Computing, Communication, Control and Automation (ICCCBEA)",conferencia,2771-1358,979-8-3315-4903-9,2025,True,ISBN
IBM Journal of Research and Development,periodico,0018-8646,,2010,True,ISSN
2020 International Conference Engineering Technologies and Computer Science (EnT),conferencia,,978-1-7281-8090-8,2020,True,ISBN
2025 IEEE Energy Conversion Congress & Exposition Asia (ECCE-Asia),conferencia,,979-8-3315-1886-8,2025,True,ISBN
2025 10th International Conference on Power and Renewable Energy (ICPRE),conferencia,2768-0525,979-8-3315-8662-1,2025,True,ISBN
2020 International Conference on Emerging Trends in Information Technology and Engineering (ic-ETITE),conferencia,,978-1-7281-4142-8,2020,True,ISBN
2025 IEEE 34th Wireless and Optical Communications Conference (WOCC),conferencia,2379-1276,979-8-3315-3928-3,2025,True,ISBN
"2022 2nd International Conference on Algorithms, High Performance Computing and Artificial Intelligence (AHPCAI)",conferencia,,979-8-3503-3478-4,2022,True,ISBN
2025 8th International Conference on Trends in Electronics and Informatics (ICOEI),conferencia,,979-8-3315-4460-7,2025,True,ISBN
2020 IEEE Midwest Industry Conference (MIC),conferencia,,978-1-7281-8386-2,2020,True,ISBN
2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom),conferencia,,978-9-3805-4421-2,2016,False,
"2025 IEEE 7th International Conference on Communications, Information System and Computer Engineering (CISCE)",conferencia,2833-2423,979-8-3315-0161-7,2025,True,ISBN
2016 International Conference on Condition Monitoring and Diagnosis (CMD),conferencia,,978-1-5090-3398-0,2016,True,ISBN
2021 IEEE Sensors,conferencia,2168-9229,978-1-7281-9501-8,2021,True,ISBN
2010 Third International Symposium on Information Science and Engineering,conferencia,2160-1291,978-1-61284-428-2,2010,False,
"2025 International Conference for Artificial Intelligence, Applications, Innovation and Ethics (AI2E)",conferencia,,979-8-3315-1373-3,2025,True,ISBN
2011 EPU-CRIS International Conference on Science and Technology,conferencia,,978-1-4673-0355-2,2011,False,
2025 IEEE 21st International Conference on Automation Science and Engineering (CASE),conferencia,2161-8089,979-8-3315-2246-9,2025,True,ISBN
2025 IEEE International Conference on Electrical Energy Conversion Systems and Control（IEECSC),conferencia,,979-8-3315-4187-3,2025,True,ISBN
2025 International Conference on Biomedical Engineering and Sustainable Healthcare (ICBMESH),conferencia,,979-8-3315-0207-2,2025,True,ISBN
2024 IEEE International Conference on Automatic Control and Intelligent Systems (I2CACIS),conferencia,2995-2859,979-8-3503-7210-6,2024,True,ISBN
2025 6th International Conference on Computer Vision and Data Mining (ICCVDM),conferencia,,979-8-3315-6621-0,2025,True,ISBN
2025 International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),conferencia,,979-8-3315-9469-5,2025,True,ISBN
"2025 IEEE Sensor Data Fusion: Trends, Solutions, Applications (SDF)",conferencia,2473-7666,979-8-3315-7651-6,2025,True,ISBN
2024 12th International Electrical Engineering Congress (iEECON),conferencia,,979-8-3503-8359-1,2024,True,ISBN
2025 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),conferencia,,979-8-3315-2521-7,2025,True,ISBN
2022 6th International Conference on Universal Village (UV),conferencia,,978-1-6654-7477-1,2022,True,ISBN
2025 3rd International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),conferencia,,979-8-3315-2754-9,2025,True,ISBN
2018 IEEE International Conference on Cloud Engineering (IC2E),conferencia,,978-1-5386-5008-0,2018,True,ISBN
2014 IEEE Aerospace Conference,conferencia,1095-323X,978-1-4799-1622-1,2014,True,ISBN
"2025 4th International Conference on Artificial Intelligence, Internet and Digital Economy (ICAID)",conferencia,,979-8-3315-1066-4,2025,True,ISBN
OCEANS 2025 - Great Lakes,conferencia,2996-1882,979-8-218-73628-6,2025,True,ISBN
